"","LD1","LD2","1","2","3"
"HKG8_HKG8",-2.81817879731483,5.73615882941904,0,0,1
"HKG9_HKG9",-2.97105251082399,5.06796948740828,0,0,1
"HKI1_HKI1",-2.55884311303944,1.97951425380201,0,0,1
"HKI10_HKI10",-3.22809364991748,4.20804087313337,0,0,1
"HKI12_HKI12",-4.28738619838632,4.28632411715084,0,0,1
"HKI14_HKI14",-2.94003254923415,4.34765383684902,0,0,1
"HKI15_HKI15",-2.61300916079936,4.85066007763696,0,0,1
"HKI16_HKI16",-3.50238632334632,4.83510228878318,0,0,1
"HKI17_HKI17",-4.03185670623799,5.32333372894893,0,0,1
"HKI20_HKI20",-4.18320659257467,5.62297765003638,0,0,1
"HKI21_HKI21",-3.47137421503388,3.30892551900395,0,0,1
"HKI22_HKI22",-2.44168177470636,3.83012610764373,0,0,1
"HKI24_HKI24",-1.7832982105954,4.97514186379271,0,0,1
"HKI25_HKI25",-3.76143073966036,4.84427646517879,0,0,1
"HKI5_HKI5",-2.69179225242381,2.41798757029128,0,0,1
"HKI6_HKI6",-2.37350044315898,3.13037693588439,0,0,1
"HKI7_HKI7",-2.69128338561295,2.95137542686871,0,0,1
"HKI8_HKI8",-3.97984703704918,3.84513448020537,0,0,1
"HKL1_HKL1",-4.09267317770533,4.26220760109355,0,0,1
"HKL2_HKL2",-4.28198999231334,2.50195836290009,0,0,1
"HKL3_HKL3",-4.18636014674598,4.22309346938449,0,0,1
"HKL4_HKL4",-3.5269549433616,4.45910017640814,0,0,1
"HKL5_HKL5",-2.00403879330585,3.47167455273665,0,0,1
"HKN8_HKN8",-2.24465990681324,1.69353232043817,0,0,1
"HKS1_HKS1",-0.990633054567697,4.38829255137802,0,0,1
"HKS2_HKS2",-1.78199267649747,3.21130633331521,0,0,1
"HKS3_HKS3",-2.53885087285518,5.37014011221553,0,0,1
"HKY1_HKY1",-2.84685431532163,1.03771306313708,0.001,0,0.999
"HKY3_HKY3",-3.1631260107421,3.39181506213423,0,0,1
"jaka_01_jaka_01",22.1518493775203,0.856908435475434,0,1,0
"jaka_02_jaka_02",24.8283417663684,0.707880801225275,0,1,0
"jaka_03_jaka_03",23.1424031594077,-0.0160626697816825,0,1,0
"jaka_04_jaka_04",25.3795987091213,-0.563130883377094,0,1,0
